case_number,date,lat,lon,geometry,county,county_id,precinct,precinct_id,tract,tract_id,zip_id,city,municipal_designation,city_id,council,council_id,school,school_id,federal_house,federal_house_id,state_house,state_house_id,state_senate,state_senate_id,judicial,judicial_id,tribal_nation,tribal,tribal_id
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3240""}",2018-02-21,36.116698,-95.871481,"c(-95.871481, 36.116698)",Tulsa County,40143,720095,40143000095,Census Tract 85.02,40143008502,74145,Tulsa,city,4075000,Tulsa City Council District 5,5,Tulsa,72I001,Congressional District 1,4001,State House District 78,40078,State Senate District 25,40025,Judicial District 4,4,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3238""}",2018-02-21,36.122568,-95.93226,"c(-95.93226, 36.122568)",Tulsa County,40143,720085,40143000085,Census Tract 39,40143003900,74114,Tulsa,city,4075000,Tulsa City Council District 4,4,Tulsa,72I001,Congressional District 1,4001,State House District 70,40070,State Senate District 39,40039,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3243""}",2018-02-21,36.116073,-95.868638,"c(-95.868638, 36.116073)",Tulsa County,40143,720100,40143000100,Census Tract 90.11,40143009011,74146,Tulsa,city,4075000,Tulsa City Council District 5,5,Union,72I009,Congressional District 1,4001,State House District 75,40075,State Senate District 25,40025,Judicial District 4,4,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3270""}",2018-02-21,36.094331,-95.889757,"c(-95.889757, 36.094331)",Tulsa County,40143,720091,40143000091,Census Tract 69.05,40143006905,74145,Tulsa,city,4075000,Tulsa City Council District 5,5,Tulsa,72I001,Congressional District 1,4001,State House District 79,40079,State Senate District 25,40025,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3277""}",2018-02-21,36.067905,-95.955878,"c(-95.955878, 36.067905)",Tulsa County,40143,720115,40143000115,Census Tract 76.11,40143007611,74136,Tulsa,city,4075000,Tulsa City Council District 9,9,Tulsa,72I001,Congressional District 1,4001,State House District 70,40070,State Senate District 35,40035,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3278""}",2018-02-21,36.056539,-95.962435,"c(-95.962435, 36.056539)",Tulsa County,40143,720112,40143000112,Census Tract 76.41,40143007641,74136,Tulsa,city,4075000,Tulsa City Council District 2,2,Jenks,72I005,Congressional District 1,4001,State House District 71,40071,State Senate District 35,40035,Judicial District 5,5,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3276""}",2018-02-21,36.067905,-95.955878,"c(-95.955878, 36.067905)",Tulsa County,40143,720115,40143000115,Census Tract 76.11,40143007611,74136,Tulsa,city,4075000,Tulsa City Council District 9,9,Tulsa,72I001,Congressional District 1,4001,State House District 70,40070,State Senate District 35,40035,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3272""}",2018-02-21,36.094331,-95.889757,"c(-95.889757, 36.094331)",Tulsa County,40143,720091,40143000091,Census Tract 69.05,40143006905,74145,Tulsa,city,4075000,Tulsa City Council District 5,5,Tulsa,72I001,Congressional District 1,4001,State House District 79,40079,State Senate District 25,40025,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3286""}",2018-02-21,36.071803,-95.974611,"c(-95.974611, 36.071803)",Tulsa County,40143,720110,40143000110,Census Tract 76.44,40143007644,74136,Tulsa,city,4075000,Tulsa City Council District 2,2,Tulsa,72I001,Congressional District 1,4001,State House District 71,40071,State Senate District 35,40035,Judicial District 5,5,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3280""}",2018-02-21,36.119888,-95.864478,"c(-95.864478, 36.119888)",Tulsa County,40143,720097,40143000097,Census Tract 73.14,40143007314,74129,Tulsa,city,4075000,Tulsa City Council District 5,5,Tulsa,72I001,Congressional District 1,4001,State House District 23,40023,State Senate District 25,40025,Judicial District 4,4,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3283""}",2018-02-21,36.117221,-95.914264,"c(-95.914264, 36.117221)",Tulsa County,40143,720089,40143000089,Census Tract 70,40143007000,74135,Tulsa,city,4075000,Tulsa City Council District 5,5,Tulsa,72I001,Congressional District 1,4001,State House District 70,40070,State Senate District 39,40039,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3355""}",2018-02-22,36.093782,-95.892357,"c(-95.892357, 36.093782)",Tulsa County,40143,720091,40143000091,Census Tract 69.05,40143006905,74145,Tulsa,city,4075000,Tulsa City Council District 5,5,Tulsa,72I001,Congressional District 1,4001,State House District 79,40079,State Senate District 25,40025,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3258""}",2018-02-21,36.279488,-95.853524,"c(-95.853524, 36.279488)",Tulsa County,40143,720751,40143000751,Census Tract 58.01,40143005801,74055,Owasso,city,4056650,NA,NA,Owasso,72I011,Congressional District 1,4001,State House District 74,40074,State Senate District 34,40034,Judicial District 4,4,Cherokee Nation,"Cherokee Nation, Oklahoma",5
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3259""}",2018-02-21,36.279488,-95.853524,"c(-95.853524, 36.279488)",Tulsa County,40143,720751,40143000751,Census Tract 58.01,40143005801,74055,Owasso,city,4056650,NA,NA,Owasso,72I011,Congressional District 1,4001,State House District 74,40074,State Senate District 34,40034,Judicial District 4,4,Cherokee Nation,"Cherokee Nation, Oklahoma",5
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3259""}",2018-02-21,36.279488,-95.853524,"c(-95.853524, 36.279488)",Tulsa County,40143,720751,40143000751,Census Tract 58.01,40143005801,74055,Owasso,city,4056650,NA,NA,Owasso,72I011,Congressional District 1,4001,State House District 74,40074,State Senate District 34,40034,Judicial District 4,4,Cherokee Nation,"Cherokee Nation, Oklahoma",5
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3263""}",2018-02-21,36.279488,-95.853524,"c(-95.853524, 36.279488)",Tulsa County,40143,720751,40143000751,Census Tract 58.01,40143005801,74055,Owasso,city,4056650,NA,NA,Owasso,72I011,Congressional District 1,4001,State House District 74,40074,State Senate District 34,40034,Judicial District 4,4,Cherokee Nation,"Cherokee Nation, Oklahoma",5
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3260""}",2018-02-21,36.279488,-95.853524,"c(-95.853524, 36.279488)",Tulsa County,40143,720751,40143000751,Census Tract 58.01,40143005801,74055,Owasso,city,4056650,NA,NA,Owasso,72I011,Congressional District 1,4001,State House District 74,40074,State Senate District 34,40034,Judicial District 4,4,Cherokee Nation,"Cherokee Nation, Oklahoma",5
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3264""}",2018-02-21,36.094331,-95.889757,"c(-95.889757, 36.094331)",Tulsa County,40143,720091,40143000091,Census Tract 69.05,40143006905,74145,Tulsa,city,4075000,Tulsa City Council District 5,5,Tulsa,72I001,Congressional District 1,4001,State House District 79,40079,State Senate District 25,40025,Judicial District 1,1,Muscogee (Creek) Nation,"Muscogee (Creek) Nation, Oklahoma",19
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3262""}",2018-02-21,36.279488,-95.853524,"c(-95.853524, 36.279488)",Tulsa County,40143,720751,40143000751,Census Tract 58.01,40143005801,74055,Owasso,city,4056650,NA,NA,Owasso,72I011,Congressional District 1,4001,State House District 74,40074,State Senate District 34,40034,Judicial District 4,4,Cherokee Nation,"Cherokee Nation, Oklahoma",5
"{""district"": ""TULSA"", ""case_number"": ""SC-2018-3262""}",2018-02-21,36.279488,-95.853524,"c(-95.853524, 36.279488)",Tulsa County,40143,720751,40143000751,Census Tract 58.01,40143005801,74055,Owasso,city,4056650,NA,NA,Owasso,72I011,Congressional District 1,4001,State House District 74,40074,State Senate District 34,40034,Judicial District 4,4,Cherokee Nation,"Cherokee Nation, Oklahoma",5
